name,affiliation,homepage,scholarid,orcid
Xi Li 0001,Zhejiang University,http://mypage.zju.edu.cn/xilics,TYNPJQMAAAAJ,0000-0003-3023-1662
Xiang Chen 0001,Zhejiang University,http://flyingxiang.net,I6P3k0AAAAAJ,0000-0002-6955-8729
Xiao Yu 0008,Zhejiang University,https://xiaoyu-cs.github.io,sMOc8IcAAAAJ,0000-0002-4473-3068
Xiao-Hong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-hong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaofei He 0001,Zhejiang University,http://people.cs.uchicago.edu/~xiaofei,QLLFowsAAAAJ,0000-0000-0000-0000
Xiaogang Jin 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/jin,yryOvLwAAAAJ,0000-0001-7339-2920
Xiaogang Jin 0002,Zhejiang University,http://mypage.zju.edu.cn/0096364,tYqG3CAAAAAJ,0000-0000-0000-0000
Xiaohong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaolin Zheng,Zhejiang University,http://mypage.zju.edu.cn/xlzheng,MY23M60AAAAJ,0000-0001-5483-0366
Xiaowei Zhou 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/xzhou,E1vVpg4AAAAJ,0000-0003-1926-5597
Xiaoxue Ren,Zhejiang University,https://xiaoxuerens.github.io,mdoN_woAAAAJ,0000-0002-5526-1617
Xiaoye Miao,Zhejiang University,https://person.zju.edu.cn/en/miaoxy_en,gNE7DQsAAAAJ,0000-0002-8632-1539
Xin Xia 0001,Zhejiang University,https://xin-xia.github.io,XSZRxOEAAAAJ,0000-0002-6302-3256
Xing Hu 0008,Zhejiang University,http://xing-hu.github.io,DFERPF4AAAAJ,0000-0003-0093-3292
Xinguo Liu,Zhejiang University,http://mypage.zju.edu.cn/xgliu,NOSCHOLARPAGE,0000-0003-4650-1970
Xinyu Wang 0001,Zhejiang University,https://person.zju.edu.cn/en/wangxinyu_en,NOSCHOLARPAGE,0000-0000-0000-0000
Xunzhao Yin,Zhejiang University,https://person.zju.edu.cn/en/xunzhaoyin,snOTdoIAAAAJ,0000-0003-4656-9545
