name,affiliation,homepage,scholarid,orcid
Rajit Manohar,Yale University,http://csl.yale.edu/~rajit,xpiTjY0AAAAJ,0000-0001-8211-6602
Rex Ying,Yale University,https://cpsc.yale.edu/people/zhitao-ying,6fqNXooAAAAJ,0000-0000-0000-0000
Robert Soulé,Yale University,https://cpsc.yale.edu/people/robert-soule,di_T0vwAAAAJ,0000-0002-2825-6660
Rui Wang 0004,Zhejiang University,http://www.cad.zju.edu.cn/home/rwang,yUxnN_EAAAAJ,0000-0003-4267-0347
Ruofeng Tong,Zhejiang University,http://give.zju.edu.cn/memberHomepage/TongRuofeng.html,jsoBob0AAAAJ,0000-0000-0000-0000
Ruzica Piskac,Yale University,http://www.cs.yale.edu/~piskac,71RQt3sAAAAJ,0000-0002-3267-0776
